epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1824.58,1.03233,0.80004,1.07883,0.72779,0.57419,0.65041,0.38093,1.34956,1.0353,1.25987,0.00538,0.00538,0.00538
30,1884.7,1.01884,0.78955,1.07145,0.7237,0.59508,0.65814,0.39604,1.32711,1.02095,1.23462,0.005215,0.005215,0.005215
31,1946.09,1.00693,0.77832,1.06908,0.72199,0.57794,0.64288,0.38613,1.33879,1.0044,1.23887,0.00505,0.00505,0.00505
32,2007.3,0.99796,0.76095,1.05918,0.75195,0.56871,0.66256,0.39501,1.33665,1.0007,1.23713,0.004885,0.004885,0.004885
33,2068.66,0.99536,0.75894,1.05965,0.73946,0.57465,0.65439,0.38896,1.34429,1.00316,1.2412,0.00472,0.00472,0.00472
34,2128.66,0.97762,0.74956,1.04812,0.75429,0.58068,0.65999,0.39599,1.31966,0.99792,1.23716,0.004555,0.004555,0.004555
35,2189.46,0.98161,0.73583,1.04753,0.75801,0.56037,0.65011,0.38825,1.3579,1.0107,1.24749,0.00439,0.00439,0.00439
36,2249.82,0.97198,0.72982,1.04714,0.72526,0.58665,0.66384,0.40152,1.31194,0.98541,1.22372,0.004225,0.004225,0.004225
37,2310.11,0.97191,0.73704,1.04825,0.70894,0.59585,0.6627,0.40169,1.31311,1.00818,1.22647,0.00406,0.00406,0.00406
38,2371.45,0.97054,0.72894,1.04504,0.72773,0.6061,0.67267,0.40826,1.30787,0.97132,1.218,0.003895,0.003895,0.003895
39,2431.66,0.95848,0.71763,1.03833,0.78973,0.58825,0.68017,0.40812,1.30469,0.95925,1.22189,0.00373,0.00373,0.00373
40,2491.65,0.9536,0.70803,1.0377,0.78594,0.58514,0.67593,0.40362,1.30976,0.96449,1.22551,0.003565,0.003565,0.003565
41,2551.02,0.94611,0.70482,1.03543,0.74389,0.60531,0.67805,0.40506,1.29926,0.96942,1.2232,0.0034,0.0034,0.0034
42,2610.57,0.93563,0.69625,1.02789,0.77362,0.57978,0.66604,0.40171,1.29947,0.96102,1.22164,0.003235,0.003235,0.003235
43,2670.2,0.93548,0.68875,1.0278,0.73526,0.6014,0.66193,0.40158,1.28901,0.9728,1.21748,0.00307,0.00307,0.00307
44,2730.03,0.93835,0.69753,1.02648,0.76596,0.59537,0.67444,0.41296,1.28035,0.96401,1.21236,0.002905,0.002905,0.002905
45,2794.77,0.91781,0.67842,1.01931,0.77284,0.57864,0.67466,0.40679,1.30754,0.96676,1.22535,0.00274,0.00274,0.00274
46,2854.57,0.91868,0.67793,1.0192,0.73223,0.59537,0.66299,0.40116,1.30284,0.96318,1.21712,0.002575,0.002575,0.002575
47,2913.91,0.91472,0.66986,1.01649,0.73374,0.61022,0.66983,0.40522,1.30289,0.95764,1.21727,0.00241,0.00241,0.00241
48,2974.72,0.90417,0.66073,1.01268,0.75622,0.60523,0.67744,0.40692,1.30187,0.95189,1.22201,0.002245,0.002245,0.002245
49,3035.22,0.8972,0.66014,1.0144,0.76265,0.58863,0.67247,0.40487,1.29502,0.93964,1.22586,0.00208,0.00208,0.00208
50,3095.37,0.89248,0.65124,1.00923,0.75292,0.60243,0.67614,0.40913,1.30049,0.96175,1.22275,0.001915,0.001915,0.001915
51,3155.14,0.86561,0.59372,0.99614,0.76625,0.58715,0.67345,0.40661,1.30823,0.95462,1.2334,0.00175,0.00175,0.00175
52,3212.51,0.85663,0.58788,0.98759,0.77551,0.60531,0.677,0.40988,1.29902,0.94358,1.22496,0.001585,0.001585,0.001585
53,3269.75,0.84056,0.57267,0.98258,0.74805,0.60131,0.67094,0.40486,1.2973,0.95642,1.22382,0.00142,0.00142,0.00142
54,3326.36,0.82976,0.56447,0.97941,0.75626,0.60198,0.67436,0.41023,1.29442,0.94093,1.23111,0.001255,0.001255,0.001255
